PROJECT_ID;PT_ID;JOURNAL ID;JOURNAL_NO;JOURNAL_DATE;PREFIX;DESCRIPTION;NO_URUT;COA_DETAIL;TYPE;KAWASAN;SUB;AMOUNT_DETAIL;CASHFLOW;SUB_DESCRIPTION
;;;;;;PINDAH BLOK BG09/37 KE BG09/10;1;21.50.110;D;monteverde;BG.09/37        ;4545455;;PINDAH BLOK BG09/37
;;;;;;PINDAH BLOK BG09/37 KE BG09/10;2;21.50.110;C;;BG.09/10        ;4545455;;PINDAH BLOK BG09/10
;;;;;;KOREKSI JR MNDR12019/09/0004;3;11.50.160;D;;BG.09/10        ;227271;;PINDAH BLOK BG09/10
;;;;;;KOREKSI JR MNDR12019/09/0004;4;11.50.160;C;;BG.05/10;227271;;KOREKSI UNIT BG.05/10
;;;;;;PINDAH BLOK BK.09/20 KE BK.09/26 AN BUDI SANTOSO-TDK DIBEBANKAN KE KONSUMEN;5;11.50.160;C;;BK.09/20;56818;;KOREKSI UNIT BK.09/20
;;;;;;PINDAH BLOK BK.09/20 KE BK.09/26 AN BUDI SANTOSO-TDK DIBEBANKAN KE KONSUMEN;6;11.50.160;D;;BK.09/26;56818;;
;;;;;;PENGAKUAN BATAL-AZ.03/21;7;21.50.110;D;;AZ.03/21        ;6818181;;
;;;;;;PENGAKUAN BATAL-AZ.03/21;8;31.70.000;C;;AZ.03/21        ;6818181;;
;;;;;;REKLAS BATAL-AZ.03/21;9;11.50.160;C;;AZ.03/21        ;170454;;
;;;;;;REKLAS BATAL-AZ.03/21;10;70.00.100;D;;;170454;;
;;;;;;PENGAKUAN BATAL-BG.01/01;11;21.50.110;D;;BG.01/01        ;4545455;;
;;;;;;PENGAKUAN BATAL-BG.01/01;12;31.70.000;C;;BG.01/01        ;4545455;;
;;;;;;REKLAS BATAL-BG.01/01;13;11.50.160;C;;BG.01/01        ;113636;;
;;;;;;REKLAS BATAL-BG.01/01;14;70.00.100;D;;;113636;;
;;;;;;PENGAKUAN BATAL-BG.01/05;15;21.50.110;D;;BG.01/05        ;4545455;;
